Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
SANTOS DUMONT,00668000,2,12,CARAUARI,AMAZONAS,ANA,-6.4417,-68.2439,1977/12/11,2019/11/30,43,3.7,30,30.2
EIRUNEPÉ,00669000,2,12,EIRUNEPÉ,AMAZONAS,INMET,-6.6667,-69.8667,1975/01/01,1997/08/31,23,37.3,7,69.6
SOLEDADE,00669001,2,12,EIRUNEPÉ,AMAZONAS,ANA,-6.6139,-69.1217,1982/08/03,2019/11/30,38,16.7,19,50.0
COMUNIDADE MOURÃO,00669002,2,12,EIRUNEPÉ,AMAZONAS,ANA,-6.9167,-69.9667,2005/12/25,2012/05/31,8,10.5,3,62.5
FOZ DO GREGÓRIO,00670000,2,12,EIRUNEPÉ,AMAZONAS,ANA,-6.8,-70.65,1982/08/27,2019/10/31,38,9.8,21,44.7
CONDE,00734000,2,38,CONDE,PARAÍBA,SUDENE,-7.2667,-34.9,1962/07/01,1972/11/30,11,8.9,5,54.5
SANTA RITA,00734001,2,38,SANTA RITA,PARAÍBA,DNOCS,-7.1333,-34.9833,1910/10/01,1989/04/30,80,7.0,66,17.5
JOÃO PESSOA,00734002,2,38,JOÃO PESSOA,PARAÍBA,SUDENE,-7.1333,-34.8833,1964/05/01,1985/12/31,22,36.2,8,63.6
JOÃO PESSOA,00734003,2,38,JOÃO PESSOA,PARAÍBA,DNOCS,-7.1167,-34.8833,1912/07/01,1985/12/31,74,17.9,53,28.4
JOÃO PESSOA,00734004,2,38,JOÃO PESSOA,PARAÍBA,DNOS,-7.1333,-34.8833,1977/01/01,1978/02/28,2,6.6,0,100.0
JOÃO PESSOA,00734006,2,38,JOÃO PESSOA,PARAÍBA,INMET,-7.1,-34.8667,1900/01/01,2019/06/30,120,54.3,33,72.5
ALHANDRA,00734008,2,39,ALHANDRA,PARAÍBA,AESA-PB,-7.43333,-34.9167,1936/01/01,2018/12/31,83,2.1,74,10.8
GOIANA,00734009,2,39,GOIANA,PERNAMBUCO,SUDENE,-7.61667,-34.9833,1964/06/01,1968/12/31,5,85.4,0,100.0
IGARASSU,00734011,2,39,IGARASSU,PERNAMBUCO,SUDENE,-7.83333,-34.9,1963/01/01,1992/05/31,30,21.0,20,33.3
ITAPIREMA,00734012,2,39,GOIANA,PERNAMBUCO,SUDENE,-7.66667,-34.9333,1979/01/01,1985/12/31,7,9.5,5,28.6
BAYEUX,00734036,2,38,BAYEUX,PARAÍBA,AESA-PB,-7.1336,-34.9383,1996/04/01,2018/07/31,23,0.4,20,13.0
JOÃO PESSOA/MARES,00734037,2,38,JOÃO PESSOA,PARAÍBA,AESA-PB,-7.1558,-34.9089,1996/01/01,2018/05/31,23,1.9,21,8.7
JOÃO PESSOA/MANGABEIRA,00734038,2,38,JOÃO PESSOA,PARAÍBA,AESA-PB,-7.1972,-34.8131,1996/01/01,2018/11/30,23,7.6,17,26.1
JOÃO PESSOA/CEDRES,00734039,2,38,JOÃO PESSOA,PARAÍBA,AESA-PB,-7.2172,-34.9497,2006/12/01,2018/11/30,13,2.1,8,38.5
PITIMBU,00734041,2,38,PITIMBU,PARAÍBA,AESA-PB,-7.4544,-34.8369,1996/04/01,2018/11/30,23,9.2,14,39.1
CABEDELO/EMATER,00734042,2,38,CABEDELO,PARAÍBA,AESA-PB,-7.0878,-34.85,2001/06/01,2018/11/30,18,2.4,13,27.8
CAAPORÃ,00734043,2,38,CAAPORÃ,PARAÍBA,AESA-PB,-7.5156,-34.9172,1996/07/01,2017/03/31,22,9.1,15,31.8
BAYEUX_São Bento,00734044,2,38,BAYEUX,PARAÍBA,CEMADEN,-7.122,-34.906,1994/01/01,2018/12/31,25,0.3,24,4.0
BAYEUX_Alto da Boa Vista,00734045,2,38,BAYEUX,PARAÍBA,CEMADEN,-7.133,-34.94,1994/01/01,2018/12/31,25,0.0,25,0.0
BAYEUX_Jardim Planalto,00734046,2,38,BAYEUX,PARAÍBA,CEMADEN,-7.148,-34.923,1996/04/01,2018/05/31,23,10.2,19,17.4
UMBUZEIRO,00735001,2,38,UMBUZEIRO,PARAÍBA,INMET,-7.7,-35.7,1961/01/01,1979/05/31,19,45.4,0,100.0
UMBUZEIRO,00735002,2,38,UMBUZEIRO,PARAÍBA,AESA-PB,-7.7,-35.6667,1910/10/01,1994/02/28,85,2.6,76,10.6
FAZENDA SANTA LUZIA,00735003,2,38,MULUNGU,PARAÍBA,DNOCS,-7.0333,-35.4833,1978/01/01,1978/07/31,1,0.0,0,100.0
SAPÉ,00735006,2,38,SAPÉ,PARAÍBA,DNOCS,-7.1,-35.2333,1924/06/01,1993/10/31,70,2.9,62,11.4
PILAR,00735007,2,38,PILAR,PARAÍBA,DNOCS,-7.1,-35.2833,1922/11/01,1994/01/31,73,38.7,35,52.1
MULUNGU,00735009,2,38,MULUNGU,PARAÍBA,ANA,-7.0294,-35.4681,1926/01/01,2019/11/30,94,3.6,81,13.8
MOGEIRO,00735010,2,38,MOGEIRO,PARAÍBA,SUDENE,-7.3,-35.4833,1962/07/01,1994/02/28,33,58.7,7,78.8
MATA VIRGEM,00735011,2,38,UMBUZEIRO,PARAÍBA,AESA-PB,-7.7333,-35.8167,1962/07/01,1994/01/31,33,4.2,27,18.2
FAZENDA LAGOA DOS MARCOS,00735012,2,38,AROEIRAS,PARAÍBA,AESA-PB,-7.5333,-35.8167,1962/07/01,1994/02/28,33,6.3,25,24.2
ITABAIANA,00735015,2,38,ITABAIANA,PARAÍBA,DNOCS,-7.3333,-35.3333,1910/11/01,1994/02/28,85,7.7,73,14.1
INGÁ,00735017,2,38,INGÁ,PARAÍBA,DNOCS,-7.2833,-35.6167,1910/10/01,1994/01/31,85,6.6,75,11.8
